"node_id","name"
638,"YFL054C"
639,"YFR055W"
640,"YGR086C"
641,"YGR149W"
642,"YHL021C"
643,"YHR156C"
644,"YIL037C"
645,"YIL083C"
646,"YIL169C"
647,"YJL017W"
648,"YJL142C"
649,"YJL217W"
650,"YJL218W"
651,"YKL151C"
652,"YKR075C"
653,"YLR004C"
654,"YLR042C"
655,"YLR414C"
656,"YMR318C"
657,"YNL051W"
658,"YNL077W"
659,"YNL134C"
660,"YNL159C"
661,"YNL274C"
662,"YOL002C"
663,"YOL154W"
664,"YOL155C"
665,"YOR1"
666,"YOR129C"
667,"YOR225W"
668,"YOR343C"
669,"YPL095C"
670,"YPL114W"
671,"YPS1"
672,"YRR1"
673,"ZAP1"
674,"ZIP1"
675,"ZRC1"
676,"ZRG17"
677,"ZRT1"
678,"ZRT3"
679,"ZWF1"
680,"ARG80_ARG81"
681,"BAS1_PHO2"
682,"DAL81_DAL82"
683,"GCR1_GCR2"
684,"HAP2_3_4_5"
685,"HAP2_HAP4"
686,"HDA1_TUP1"
687,"IME1_UME6"
688,"SNF2_SWI1"
689,"SSN6_TUP1"
